date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:28	14798/14798	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf41-39ce%22	http://tk-themes.net/html-umbra/blog-zigzag-2.html	D:/shoppingC/tk-themes.net/html-umbra/blog-zigzag-2.html	(from http://tk-themes.net/html-umbra/)
15:19:29	15644/15644	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf42-3d1c%22	http://tk-themes.net/html-umbra/blog-zigzag-3.html	D:/shoppingC/tk-themes.net/html-umbra/blog-zigzag-3.html	(from http://tk-themes.net/html-umbra/)
15:19:29	23562/23562	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf3f-5c0a%22	http://tk-themes.net/html-umbra/blog-detail.html	D:/shoppingC/tk-themes.net/html-umbra/blog-detail.html	(from http://tk-themes.net/html-umbra/)
15:19:29	31238/31238	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf4c-7a06%22	http://tk-themes.net/html-umbra/shop.html	D:/shoppingC/tk-themes.net/html-umbra/shop.html	(from http://tk-themes.net/html-umbra/)
15:19:29	30003/30003	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf4a-7533%22	http://tk-themes.net/html-umbra/shop-2.html	D:/shoppingC/tk-themes.net/html-umbra/shop-2.html	(from http://tk-themes.net/html-umbra/)
15:19:30	30003/30003	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf4a-7533%22	http://tk-themes.net/html-umbra/shop-3.html	D:/shoppingC/tk-themes.net/html-umbra/shop-3.html	(from http://tk-themes.net/html-umbra/)
15:19:30	26606/26606	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf4b-67ee%22	http://tk-themes.net/html-umbra/shop-list.html	D:/shoppingC/tk-themes.net/html-umbra/shop-list.html	(from http://tk-themes.net/html-umbra/)
15:19:30	25433/25433	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf4b-6359%22	http://tk-themes.net/html-umbra/shop-detail.html	D:/shoppingC/tk-themes.net/html-umbra/shop-detail.html	(from http://tk-themes.net/html-umbra/)
15:19:31	17478/17478	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf44-4446%22	http://tk-themes.net/html-umbra/cart.html	D:/shoppingC/tk-themes.net/html-umbra/cart.html	(from http://tk-themes.net/html-umbra/)
15:19:31	11311/11311	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf43-2c2f%22	http://tk-themes.net/html-umbra/cart-empty.html	D:/shoppingC/tk-themes.net/html-umbra/cart-empty.html	(from http://tk-themes.net/html-umbra/)
15:19:31	12967/12967	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf49-32a7%22	http://tk-themes.net/html-umbra/my-account.html	D:/shoppingC/tk-themes.net/html-umbra/my-account.html	(from http://tk-themes.net/html-umbra/)
15:19:32	13191/13191	---MCZ	200	added ('OK')	text/html	etag:W/%2257ccdf4c-3387%22	http://tk-themes.net/html-umbra/wishlist.html	D:/shoppingC/tk-themes.net/html-umbra/wishlist.html	(from http://tk-themes.net/html-umbra/)
